id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
PLICOnmUCxGRO_s7AQpsIEEuj2dDhCiXxR,Playlist,Best Metal & Rock Songs of 2000s,,ReMucic • 19M views,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,10
PLP0w6SvGRrWhYvFxCMB-HChCok8bY34ez,Playlist,Old school country,,Shane Marr • 744K views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,1
PLK7cpGOt3ciRPinK6FsGcK7DC1sm2PVCw,Playlist,Fall Playlist 🍂,,Andrew Bergeron • 981K views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,2
PLse1AzEOESWSm9VpfEo0Z5jltivv7-vXf,Playlist,70s Rock Essentials,,S R • 8.1M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,6
PLkqz3S84Tw-QYEdfTLBzxJ1FAprtqeEpJ,Playlist,90s Alt-Rock Hits,,Vevo Playlists • 9.6M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,4
PLduwZxZ72L8MSY1awqggDPDatdYc0wW4j,Playlist,90s rock hits,,Gabriel Goodman • 11M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,5
PL7_0lTEZmnoaZ8PVY-G5PxMgvbUeL5NZ2,Playlist,70's-80's Mixed Rock,,zatantony • 3.2M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,3
PL9tY0BWXOZFtUu1HrxtZ4hv8nNLKiRseN,Playlist,Current Country Hits | Vevo Playlist,,Vevo • 19M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,7
PL4JneOeIb-JRQxWxsZ220fwrcF9J7-HEK,Playlist,Country Smash Hits,,Sony Music Canada • 783K views,2026-09-12T19:29:50Z,2026-09-12T19:47:15Z,2,10
PLZxSVxATJoBo,Playlist,Rock Legends | Vevo Playlist,,Vevo • 531K views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,8
PLNB2L3DUVMUUV_Ep6z9LRQgYA690MF2xB,Playlist,Country Music,,Jacqui Simons • 4.1M views,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,9
