id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDCLAK5uy_lRZPrRiskUd_P0ld4JdIZNxOmqFVWOZIU,Playlist,Yacht Rock Classics,,"Fleetwood Mac, Hall & Oates, Steely Dan, Steve Winwood",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,1
RDCLAK5uy_nLZYYRoJCDij69F72mBY6C_Ga9i1Z-rW8,Playlist,'80s Summer Grooves,,"Michael Jackson, Kool & The Gang, Prince, Kenny Loggins",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,2
RDCLAK5uy_mFLFxRholkVddpGoCWubF7WGe7vgFm1SY,Playlist,Lazy Summer,,"Khruangbin, Phoebe Bridgers, Kings Of Convenience, Wishy",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,3
RDCLAK5uy_msmCN7LtOaHMAeGUtReEHr3DK5lLd9PmY,Playlist,Margaritaville,,"Jimmy Buffett, Kenny Chesney, Zac Brown Band, Bob Marley",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,4
RDCLAK5uy_l808wsTOCKs6u9c1bqeLIpzTUOfns2BMs,Playlist,Sunshine Indie,,"Parcels, Geowulf, Leon Bridges, St. Lucia",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,5
RDCLAK5uy_kTryekD5_prNBl8eu44N_x2w6zPyZUNt0,Playlist,Southern Rock BBQ,,"ZZ Top, Lynyrd Skynyrd, The Allman Brothers Band, The Marshall Tucker Band",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,6
RDCLAK5uy_l0NNK9-Z-5g0Lkf-TpctvuwqSxLByMnN4,Playlist,Classic Rock Summer,,"Guns N' Roses, Van Morrison, John Mellencamp, Bruce Springsteen",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,7
RDCLAK5uy_mX4JK0m7lhZ8Egv1E7bbXox_e0k6rGejo,Playlist,Chill R&B,,"SZA, Summer Walker, Daniel Caesar, Kehlani",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,8
RDCLAK5uy_liwwwIG8z4P25AWeLZ2Nvydx1GwbvndEI,Playlist,Campfire Classics,,"Jack Johnson, Kurt Vile, PINK FLOYD, Bob Marley",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,9
RDCLAK5uy_kJWGcrtTC_zrbD6rKkBvOcht_vzijhX1A,Playlist,A Happy Alternative,,"Milky Chance, Alabama Shakes, Jungle, The Black Keys",2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,10
