id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_A9k65Xa1pO5,Album,The Legend Hank Williams,Hank Williams,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,1
MPREb_BulkEIpIn7k,Album,Gunfighter Ballads And Trail Songs,Marty Robbins,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,2
MPREb_Ll5sY3sqJk7,Album,Metamodern Sounds in Country Music,Sturgill Simpson,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,3
RDCLAK5uy_kVfoKrYSsJaHx3SLO8mp3WYuRHMrS8U_Q,Playlist,Classic Country,,"Dolly Parton, Merle Haggard, George Strait, Willie Nelson",2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,4
PLGpm3jMidgdtTOKqRGhTXULtxoJildQSu,Playlist,Grandpas music,,Blake Barker • 21K views,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,6
MPREb_pZgWEThX4sL,Album,East Bound and Down,Jerry Reed,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,5
MPREb_flLH3O0ZSgq,Album,Big City,Merle Haggard,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,7
PLTmAQzLvfOpIwZx8u6-IfjtaGxf0Aycjf,Playlist,mountain music,,Reece Brandes • 10K views,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,8
PLk8HjWWoYNm8zZk_UO4kNkpAOWIbLTBAW,Playlist,Ole Skool Country,,John Bolduan • 20K views,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,10
r7uiVktlD1U,Song,Sleeping on the Blacktop,Colter Wall,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,9
