id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
WYknXjml9Gw,Video,"Study Music, Concentration Music for Studying, Focus Music for Productivity",Greenred Productions,,2026-09-12T20:18:41Z,2026-09-12T20:18:41Z,1,14
CQRNDH1tuFQ,Video,Native American Canyon Flute Music for Meditation,Sam Ashford,,2026-09-12T20:18:41Z,2026-09-12T20:18:41Z,1,15
6MAzUT1YhWE,Video,"Rooftop Live (Arun’s Roof, London)",Fred again..,,2026-09-12T20:18:41Z,2026-09-12T20:18:41Z,1,16
nkNYJo85bEc,Video,Philly '97 Jam,Phish,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,3
5Ea17DWcgN8,Video,Fallen Down (Slowed + Reverb) (Extended Version),3000m,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,14
VnRN1vPtBK8,Video,THIEVERY CORPORATION Style 2026 • Creative Work Music • Special Coffeeshop Selection Seven Beats,Seven Beats Music,,2026-09-12T20:00:29Z,2026-09-12T20:18:41Z,2,17
UFeLMFUWmWo,Video,Paul Oakenfold Goa mix 1994 - whole 2hrs,Whirlytunes,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,1
6JgL1a8fx-U,Video,Thievery Corporation • Chet Faker • Bonobo • Morcheeba - Special Coffeeshop Selection [Seven Beats],Seven Beats Music,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,2
QDlgyz5kAlM,Video,Phish - 2001/Mike's Song/Weekapaug Groove - 7/17/98 Gorge Amphitheatre,astavely56,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,3
LP-yrUfzdfU,Video,"Benji Vaughan 3 hour Dj set .. Tampere, Finland - 2013",Shpongle,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,4
F8HmvH4Kfqg,Video,Infected Mushroom & Yahel   Live on Radio 99 2004,Mathaira,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,5
fmfYP6gxWiw,Video,"[Psytrance Mix] Infected Mushroom vs. Shpongle - Live at Padja, Goa",konsta239,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,6
46Be6a7k_y8,Video,Waters of March,Matt Borghi,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,8
xx6y0OmpvIQ,Video,Immersion,Rob Townley,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,11
Fa5mR4E_rM0,Video,"Hallucinogen - Live at The DNA Lounge, San Francisco, 2001",Whirlytunes,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,9
YPJD1hF2kIY,Video,Massive Attack • Portishead • Thievery Corporation- Special Coffeeshop Selection [Seven Beats Music],Seven Beats Music,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,10
vvpZOaQz6SM,Video,"Goa Trance 1994,1995,1996,1997",KALIZER - FULL MOON PSYTRANCE IRELAND,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,7
_p5z-QGMpg0,Video,Envelope Petals,Chubby Wolf,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,13
a8oc1mI1wWE,Video,Letting Go of the Oars,Bengalfuel,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,12
T7PLrGKD6QU,Video,"Tyler, The Creator - Fashion Show Music (1 HOUR)",Hello?,,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,15
SU5tSF6k-m8,Video,VOLCANO - A MOTION PICTURE BY JUNGLE,Jungle4eva,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,18
ypeTbEZCJP8,Video,Blonded los santos 97.8 FM l 2022 (GTA 5/online) alternative radio,wabbajack TV,,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,16
8V71sATDTqs,Video,- Fragments - Unattended Generative Modular Ambient // 4 Hour Relaxation,State Azure,,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,19
